timestamp_ms,ue_imsi,cell_id,is_serving,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,rsrp_3gpp,rsrq_3gpp,sinr_3gpp
1,1,2,0,-100.078,-20.6108,-64.9954,-9.34078,56,45,27
1,1,3,0,-101.714,-22.2465,-64.9954,-11.1323,54,42,24
1,1,4,0,-108.291,-28.8241,-64.9954,-17.9634,48,28,10
1,1,5,0,-91.193,-11.726,-64.9954,6.19814,65,63,58
1,2,2,0,-107.686,-24.3583,-68.856,-13.3711,48,37,19
1,2,3,0,-109.967,-26.6397,-68.856,-15.7334,46,33,15
1,2,4,0,-109.615,-26.2879,-68.856,-15.3718,46,33,15
1,2,5,0,-94.592,-11.2644,-68.856,9.39427,61,63,65
1,3,2,0,-90.6526,-23.9912,-52.1898,-12.9863,65,38,20
1,3,3,0,-78.7106,-12.0491,-52.1898,4.7395,77,62,55
1,3,4,0,-104.991,-38.3293,-52.1898,-27.5298,51,9,0
1,3,5,0,-84.4076,-17.7462,-52.1898,-5.97641,72,51,34
1,4,2,0,-102.719,-26.9622,-61.2849,-16.0642,53,32,14
1,4,3,0,-108.533,-32.7761,-61.2849,-21.9567,47,20,2
1,4,4,0,-106.699,-30.9425,-61.2849,-20.1085,49,24,6
1,4,5,0,-86.7302,-10.9736,-61.2849,13.6903,69,64,73
1,5,2,0,-102.887,-40.3935,-48.0215,-29.5969,53,5,0
1,5,3,0,-73.2929,-10.7998,-48.0215,27.3399,83,64,101
1,5,4,0,-111.234,-48.7405,-48.0215,-37.948,45,0,0
1,5,5,0,-105.922,-43.4294,-48.0215,-32.6352,50,0,0
1,6,2,0,-106.389,-16.6267,-75.291,-4.52174,50,53,37
1,6,3,0,-113.615,-23.852,-75.291,-12.84,42,38,20
1,6,4,0,-108.513,-18.7507,-75.291,-7.20166,47,48,32
1,6,5,0,-103.495,-13.7324,-75.291,0.14058,53,59,46
1,7,2,0,-96.4673,-42.2936,-39.7022,-31.4987,60,1,0
1,7,3,0,-104.167,-49.9932,-39.7022,-39.2008,52,0,0
