timestamp,id,x,y,simid,ESstate,currEC,maxEC,totalcurrEC
1760555221223,0,1000,1000
1760555221223,2,500,500,1760555221223,0,0,0,0
1760555221223,3,700,500,1760555221223,0,0,0,0
1760555221223,4,400,673.205,1760555221223,0,0,0,0
1760555221223,5,400,326.795,1760555221223,0,0,0,0
1760555221323,2,500,500,1760555221223,0,0,0,0
1760555221323,3,700,500,1760555221223,0,0,0,0
1760555221323,4,400,673.205,1760555221223,0,0,0,0
1760555221323,5,400,326.795,1760555221223,0,0,0,0
1760555221423,2,500,500,1760555221223,0,0,0,0
1760555221423,3,700,500,1760555221223,0,0,0,0
1760555221423,4,400,673.205,1760555221223,0,0,0,0
1760555221423,5,400,326.795,1760555221223,0,0,0,0
1760555221523,2,500,500,1760555221223,0,0,0,0
1760555221523,3,700,500,1760555221223,0,0,0,0
1760555221523,4,400,673.205,1760555221223,0,0,0,0
1760555221523,5,400,326.795,1760555221223,0,0,0,0
1760555221623,2,500,500,1760555221223,0,0,0,0
1760555221623,3,700,500,1760555221223,0,0,0,0
1760555221623,4,400,673.205,1760555221223,0,0,0,0
1760555221623,5,400,326.795,1760555221223,0,0,0,0
1760555221723,2,500,500,1760555221223,0,0,0,0
1760555221723,3,700,500,1760555221223,0,0,0,0
1760555221723,4,400,673.205,1760555221223,0,0,0,0
1760555221723,5,400,326.795,1760555221223,0,0,0,0
1760555221823,2,500,500,1760555221223,0,0,0,0
1760555221823,3,700,500,1760555221223,0,0,0,0
1760555221823,4,400,673.205,1760555221223,0,0,0,0
1760555221823,5,400,326.795,1760555221223,0,0,0,0
1760555221923,2,500,500,1760555221223,0,0,0,0
1760555221923,3,700,500,1760555221223,0,0,0,0
1760555221923,4,400,673.205,1760555221223,0,0,0,0
1760555221923,5,400,326.795,1760555221223,0,0,0,0
1760555222023,2,500,500,1760555221223,0,0,0,0
1760555222023,3,700,500,1760555221223,0,0,0,0
1760555222023,4,400,673.205,1760555221223,0,0,0,0
1760555222023,5,400,326.795,1760555221223,0,0,0,0
1760555222123,2,500,500,1760555221223,0,0,0,0
1760555222123,3,700,500,1760555221223,0,0,0,0
1760555222123,4,400,673.205,1760555221223,0,0,0,0
1760555222123,5,400,326.795,1760555221223,0,0,0,0
1760555222223,2,500,500,1760555221223,0,0,0,0
1760555222223,3,700,500,1760555221223,0,0,0,0
1760555222223,4,400,673.205,1760555221223,0,0,0,0
1760555222223,5,400,326.795,1760555221223,0,0,0,0
1760555222323,2,500,500,1760555221223,0,0,0,0
1760555222323,3,700,500,1760555221223,0,0,0,0
1760555222323,4,400,673.205,1760555221223,0,0,0,0
1760555222323,5,400,326.795,1760555221223,0,0,0,0
1760555222423,2,500,500,1760555221223,0,0,0,0
1760555222423,3,700,500,1760555221223,0,0,0,0
1760555222423,4,400,673.205,1760555221223,0,0,0,0
1760555222423,5,400,326.795,1760555221223,0,0,0,0
1760555222523,2,500,500,1760555221223,0,0,0,0
1760555222523,3,700,500,1760555221223,0,0,0,0
1760555222523,4,400,673.205,1760555221223,0,0,0,0
1760555222523,5,400,326.795,1760555221223,0,0,0,0
1760555222623,2,500,500,1760555221223,0,0,0,0
1760555222623,3,700,500,1760555221223,0,0,0,0
1760555222623,4,400,673.205,1760555221223,0,0,0,0
1760555222623,5,400,326.795,1760555221223,0,0,0,0
1760555222723,2,500,500,1760555221223,0,0,0,0
1760555222723,3,700,500,1760555221223,0,0,0,0
1760555222723,4,400,673.205,1760555221223,0,0,0,0
1760555222723,5,400,326.795,1760555221223,0,0,0,0
1760555222823,2,500,500,1760555221223,0,0,0,0
1760555222823,3,700,500,1760555221223,0,0,0,0
1760555222823,4,400,673.205,1760555221223,0,0,0,0
1760555222823,5,400,326.795,1760555221223,0,0,0,0
1760555222923,2,500,500,1760555221223,0,0,0,0
1760555222923,3,700,500,1760555221223,0,0,0,0
1760555222923,4,400,673.205,1760555221223,0,0,0,0
1760555222923,5,400,326.795,1760555221223,0,0,0,0
1760555223023,2,500,500,1760555221223,0,0,0,0
1760555223023,3,700,500,1760555221223,0,0,0,0
1760555223023,4,400,673.205,1760555221223,0,0,0,0
1760555223023,5,400,326.795,1760555221223,0,0,0,0
1760555223123,2,500,500,1760555221223,0,0,0,0
1760555223123,3,700,500,1760555221223,0,0,0,0
1760555223123,4,400,673.205,1760555221223,0,0,0,0
1760555223123,5,400,326.795,1760555221223,0,0,0,0
1760555223223,2,500,500,1760555221223,0,0,0,0
1760555223223,3,700,500,1760555221223,0,0,0,0
1760555223223,4,400,673.205,1760555221223,0,0,0,0
1760555223223,5,400,326.795,1760555221223,0,0,0,0
1760555223323,2,500,500,1760555221223,0,0,0,0
1760555223323,3,700,500,1760555221223,0,0,0,0
1760555223323,4,400,673.205,1760555221223,0,0,0,0
1760555223323,5,400,326.795,1760555221223,0,0,0,0
1760555223423,2,500,500,1760555221223,0,0,0,0
1760555223423,3,700,500,1760555221223,0,0,0,0
1760555223423,4,400,673.205,1760555221223,0,0,0,0
1760555223423,5,400,326.795,1760555221223,0,0,0,0
1760555223523,2,500,500,1760555221223,0,0,0,0
1760555223523,3,700,500,1760555221223,0,0,0,0
1760555223523,4,400,673.205,1760555221223,0,0,0,0
1760555223523,5,400,326.795,1760555221223,0,0,0,0
1760555223623,2,500,500,1760555221223,0,0,0,0
1760555223623,3,700,500,1760555221223,0,0,0,0
1760555223623,4,400,673.205,1760555221223,0,0,0,0
1760555223623,5,400,326.795,1760555221223,0,0,0,0
1760555223723,2,500,500,1760555221223,0,0,0,0
1760555223723,3,700,500,1760555221223,0,0,0,0
1760555223723,4,400,673.205,1760555221223,0,0,0,0
1760555223723,5,400,326.795,1760555221223,0,0,0,0
1760555223823,2,500,500,1760555221223,0,0,0,0
1760555223823,3,700,500,1760555221223,0,0,0,0
1760555223823,4,400,673.205,1760555221223,0,0,0,0
1760555223823,5,400,326.795,1760555221223,0,0,0,0
1760555223923,2,500,500,1760555221223,0,0,0,0
1760555223923,3,700,500,1760555221223,0,0,0,0
1760555223923,4,400,673.205,1760555221223,0,0,0,0
1760555223923,5,400,326.795,1760555221223,0,0,0,0
1760555224023,2,500,500,1760555221223,0,0,0,0
1760555224023,3,700,500,1760555221223,0,0,0,0
1760555224023,4,400,673.205,1760555221223,0,0,0,0
1760555224023,5,400,326.795,1760555221223,0,0,0,0
1760555224123,2,500,500,1760555221223,0,0,0,0
1760555224123,3,700,500,1760555221223,0,0,0,0
1760555224123,4,400,673.205,1760555221223,0,0,0,0
1760555224123,5,400,326.795,1760555221223,0,0,0,0
1760555224223,2,500,500,1760555221223,0,0,0,0
1760555224223,3,700,500,1760555221223,0,0,0,0
1760555224223,4,400,673.205,1760555221223,0,0,0,0
1760555224223,5,400,326.795,1760555221223,0,0,0,0
1760555224323,2,500,500,1760555221223,0,0,0,0
1760555224323,3,700,500,1760555221223,0,0,0,0
1760555224323,4,400,673.205,1760555221223,0,0,0,0
1760555224323,5,400,326.795,1760555221223,0,0,0,0
1760555224423,2,500,500,1760555221223,0,0,0,0
1760555224423,3,700,500,1760555221223,0,0,0,0
1760555224423,4,400,673.205,1760555221223,0,0,0,0
1760555224423,5,400,326.795,1760555221223,0,0,0,0
1760555224523,2,500,500,1760555221223,0,0,0,0
1760555224523,3,700,500,1760555221223,0,0,0,0
1760555224523,4,400,673.205,1760555221223,0,0,0,0
1760555224523,5,400,326.795,1760555221223,0,0,0,0
1760555224623,2,500,500,1760555221223,0,0,0,0
1760555224623,3,700,500,1760555221223,0,0,0,0
1760555224623,4,400,673.205,1760555221223,0,0,0,0
1760555224623,5,400,326.795,1760555221223,0,0,0,0
1760555224723,2,500,500,1760555221223,0,0,0,0
1760555224723,3,700,500,1760555221223,0,0,0,0
1760555224723,4,400,673.205,1760555221223,0,0,0,0
1760555224723,5,400,326.795,1760555221223,0,0,0,0
1760555224823,2,500,500,1760555221223,0,0,0,0
1760555224823,3,700,500,1760555221223,0,0,0,0
1760555224823,4,400,673.205,1760555221223,0,0,0,0
1760555224823,5,400,326.795,1760555221223,0,0,0,0
1760555224923,2,500,500,1760555221223,0,0,0,0
1760555224923,3,700,500,1760555221223,0,0,0,0
1760555224923,4,400,673.205,1760555221223,0,0,0,0
1760555224923,5,400,326.795,1760555221223,0,0,0,0
1760555225023,2,500,500,1760555221223,0,0,0,0
1760555225023,3,700,500,1760555221223,0,0,0,0
1760555225023,4,400,673.205,1760555221223,0,0,0,0
1760555225023,5,400,326.795,1760555221223,0,0,0,0
1760555225123,2,500,500,1760555221223,0,0,0,0
1760555225123,3,700,500,1760555221223,0,0,0,0
1760555225123,4,400,673.205,1760555221223,0,0,0,0
1760555225123,5,400,326.795,1760555221223,0,0,0,0
1760555225223,2,500,500,1760555221223,0,0,0,0
1760555225223,3,700,500,1760555221223,0,0,0,0
1760555225223,4,400,673.205,1760555221223,0,0,0,0
1760555225223,5,400,326.795,1760555221223,0,0,0,0
1760555225323,2,500,500,1760555221223,0,0,0,0
1760555225323,3,700,500,1760555221223,0,0,0,0
1760555225323,4,400,673.205,1760555221223,0,0,0,0
1760555225323,5,400,326.795,1760555221223,0,0,0,0
1760555225423,2,500,500,1760555221223,0,0,0,0
1760555225423,3,700,500,1760555221223,0,0,0,0
1760555225423,4,400,673.205,1760555221223,0,0,0,0
1760555225423,5,400,326.795,1760555221223,0,0,0,0
1760555225523,2,500,500,1760555221223,0,0,0,0
1760555225523,3,700,500,1760555221223,0,0,0,0
1760555225523,4,400,673.205,1760555221223,0,0,0,0
1760555225523,5,400,326.795,1760555221223,0,0,0,0
1760555225623,2,500,500,1760555221223,0,0,0,0
1760555225623,3,700,500,1760555221223,0,0,0,0
1760555225623,4,400,673.205,1760555221223,0,0,0,0
1760555225623,5,400,326.795,1760555221223,0,0,0,0
