timestamp_ms,ue_id,serving_cell_id,neighbor_cell_id,metric_type,sinr_db
1760464862696,6,5,,L3Serving,3.00
1760464862696,6,5,4,L3Neighbor,16.00
1760464862696,6,5,2,L3Neighbor,9.00
1760464862696,8,5,,L3Serving,3.00
1760464862696,8,5,4,L3Neighbor,12.00
1760464862696,8,5,3,L3Neighbor,-4.00
1760464862696,2,5,,L3Serving,27.00
1760464862696,2,5,2,L3Neighbor,0.00
1760464862696,2,5,4,L3Neighbor,0.00
1760464862696,4,5,,L3Serving,2.00
1760464862696,4,5,4,L3Neighbor,1.00
1760464862696,4,5,2,L3Neighbor,-4.00
1760464862696,1,5,,L3Serving,8.00
1760464862696,1,5,2,L3Neighbor,-4.00
1760464862696,1,5,4,L3Neighbor,-13.00
1760464862696,3,5,,L3Serving,22.00
1760464862696,3,5,2,L3Neighbor,10.00
1760464862696,3,5,4,L3Neighbor,5.00
1760464862911,10,4,,L3Serving,-13.00
1760464862911,7,4,,L3Serving,24.00
1760464862911,7,4,3,L3Neighbor,10.00
1760464862911,7,4,2,L3Neighbor,7.00
1760464862911,9,4,,L3Serving,0.00
1760464862911,9,4,3,L3Neighbor,8.00
1760464862911,9,4,2,L3Neighbor,2.00
1760464863039,5,3,,L3Serving,0.00
1760464881429,4,5,,L3Serving,1.00
1760464881429,4,5,4,L3Neighbor,4.00
1760464881429,4,5,3,L3Neighbor,-7.00
1760464881429,6,5,,L3Serving,4.00
1760464881429,6,5,4,L3Neighbor,17.00
1760464881429,6,5,2,L3Neighbor,8.00
1760464881429,3,5,,L3Serving,25.00
1760464881429,3,5,2,L3Neighbor,12.00
1760464881429,3,5,4,L3Neighbor,7.00
1760464881429,2,5,,L3Serving,29.00
1760464881429,2,5,2,L3Neighbor,0.00
1760464881429,2,5,4,L3Neighbor,0.00
1760464881429,1,5,,L3Serving,9.00
1760464881429,1,5,2,L3Neighbor,-1.00
1760464881429,1,5,3,L3Neighbor,-10.00
1760464881429,8,5,,L3Serving,6.00
1760464881429,8,5,4,L3Neighbor,14.00
1760464881429,8,5,2,L3Neighbor,-6.00
1760464881616,10,4,,L3Serving,-12.00
1760464881616,9,4,,L3Serving,1.00
1760464881616,9,4,3,L3Neighbor,9.00
1760464881616,9,4,2,L3Neighbor,5.00
1760464881616,7,4,,L3Serving,22.00
1760464881616,7,4,3,L3Neighbor,14.00
1760464881616,7,4,2,L3Neighbor,9.00
1760464881739,5,3,,L3Serving,0.00
1760464905503,2,5,,L3Serving,27.00
1760464905503,2,5,2,L3Neighbor,4.00
1760464905503,2,5,4,L3Neighbor,-3.00
1760464905503,8,5,,L3Serving,4.00
1760464905503,8,5,2,L3Neighbor,33.00
1760464905503,8,5,4,L3Neighbor,9.00
1760464905503,1,5,,L3Serving,31.00
1760464905503,1,5,2,L3Neighbor,11.00
1760464905503,1,5,3,L3Neighbor,-10.00
1760464905503,6,5,,L3Serving,0.00
1760464905503,6,5,4,L3Neighbor,18.00
1760464905503,6,5,2,L3Neighbor,12.00
1760464905503,3,5,,L3Serving,24.00
1760464905503,3,5,2,L3Neighbor,12.00
1760464905503,3,5,4,L3Neighbor,9.00
1760464905503,4,5,,L3Serving,4.00
1760464905503,4,5,4,L3Neighbor,-1.00
1760464905503,4,5,3,L3Neighbor,-6.00
1760464905697,10,4,,L3Serving,-14.00
1760464905697,9,4,,L3Serving,6.00
1760464905697,9,4,3,L3Neighbor,7.00
1760464905697,9,4,5,L3Neighbor,2.00
1760464905697,7,4,,L3Serving,38.00
1760464905697,7,4,3,L3Neighbor,9.00
1760464905697,7,4,2,L3Neighbor,2.00
1760464905818,5,3,,L3Serving,-2.00
1760464929120,8,5,,L3Serving,5.00
1760464929120,8,5,2,L3Neighbor,33.00
1760464929120,8,5,4,L3Neighbor,8.00
1760464929120,1,5,,L3Serving,31.00
1760464929120,1,5,2,L3Neighbor,9.00
1760464929120,1,5,3,L3Neighbor,-8.00
1760464929120,6,5,,L3Serving,0.00
1760464929120,6,5,4,L3Neighbor,17.00
1760464929120,6,5,2,L3Neighbor,11.00
1760464929120,3,5,,L3Serving,27.00
1760464929120,3,5,2,L3Neighbor,15.00
1760464929120,3,5,4,L3Neighbor,8.00
1760464929120,4,5,,L3Serving,5.00
1760464929120,4,5,4,L3Neighbor,0.00
1760464929120,4,5,3,L3Neighbor,-4.00
1760464929120,2,5,,L3Serving,31.00
1760464929120,2,5,2,L3Neighbor,6.00
1760464929120,2,5,4,L3Neighbor,-3.00
1760464929350,7,4,,L3Serving,39.00
1760464929350,7,4,3,L3Neighbor,12.00
1760464929350,7,4,2,L3Neighbor,0.00
1760464929350,10,4,,L3Serving,-15.00
1760464929350,9,4,,L3Serving,4.00
1760464929350,9,4,3,L3Neighbor,4.00
1760464929350,9,4,5,L3Neighbor,4.00
1760464929487,5,3,,L3Serving,-1.00
1760464929487,5,3,2,L3Neighbor,8.00
1760464929487,5,3,5,L3Neighbor,0.00
1760464954896,1,5,,L3Serving,10.00
1760464954896,1,5,2,L3Neighbor,7.00
1760464954896,1,5,4,L3Neighbor,-10.00
1760464954896,3,5,,L3Serving,22.00
1760464954896,3,5,2,L3Neighbor,18.00
1760464954896,3,5,4,L3Neighbor,8.00
1760464954896,8,5,,L3Serving,6.00
1760464954896,8,5,2,L3Neighbor,35.00
1760464954896,8,5,4,L3Neighbor,11.00
1760464954896,4,5,,L3Serving,7.00
1760464954896,4,5,4,L3Neighbor,0.00
