timestamp_ms,ue_imsi,cell_id,is_serving,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,rsrp_3gpp,rsrq_3gpp,sinr_3gpp
101,9,3,0,-99.5641,-35.9172,-49.1753,-25.1121,56,14,0
101,9,4,1,-94.6334,-30.9865,-49.1753,-20.153,61,24,6
101,9,5,0,-109.506,-45.8588,-49.1753,-35.0656,46,0,0
101,10,2,0,-72.4804,-13.2826,-44.7262,1.10964,84,59,48
101,10,3,0,-106.414,-47.216,-44.7262,-36.4232,50,0,0
101,10,4,0,-98.1178,-38.92,-44.7262,-28.1215,58,8,0
101,10,5,1,-73.6079,-14.4101,-44.7262,-1.14119,82,57,44
201,1,2,0,-99.8177,-31.5578,-53.7883,-20.7294,56,23,5
201,1,3,0,-79.2661,-11.0062,-53.7883,12.9581,77,64,72
201,1,4,0,-109.066,-40.8063,-53.7883,-30.0102,47,4,0
201,1,5,1,-93.1819,-24.922,-53.7883,-13.9591,63,36,18
201,2,2,0,-105.363,-46.3334,-44.5577,-35.5403,51,0,0
201,2,3,0,-112.445,-53.4161,-44.5577,-42.624,44,0,0
201,2,4,0,-109.975,-50.9455,-44.5577,-40.1532,46,0,0
201,2,5,1,-69.823,-10.7938,-44.5577,33.4801,86,64,113
201,3,2,0,-91.7487,-21.0805,-56.1967,-9.86202,64,44,26
201,3,3,1,-100.126,-29.4577,-56.1967,-18.6064,56,27,9
201,3,4,0,-102.692,-32.024,-56.1967,-21.1994,53,22,4
201,3,5,0,-81.9904,-11.3222,-56.1967,8.86414,74,63,64
201,4,2,0,-102.758,-31.8651,-56.4218,-21.0392,53,22,4
201,4,3,0,-109.733,-38.8401,-56.4218,-28.0415,46,8,0
201,4,4,0,-84.607,-13.7137,-56.4218,0.178736,71,59,46
201,4,5,1,-84.8722,-13.9789,-56.4218,-0.346662,71,58,45
201,5,2,0,-102.796,-25.8135,-62.5107,-14.8829,53,34,16
201,5,3,1,-93.2177,-16.2355,-62.5107,-3.98358,63,54,38
201,5,4,0,-89.61,-12.6278,-62.5107,2.78891,66,61,52
201,5,5,0,-103.519,-26.537,-62.5107,-15.6279,52,33,15
201,6,2,0,-107.939,-38.581,-54.8866,-27.782,48,9,0
201,6,3,0,-112.341,-42.9826,-54.8866,-32.1881,44,0,0
201,6,4,0,-109.767,-40.4086,-54.8866,-29.612,46,5,0
201,6,5,1,-80.1654,-10.8073,-54.8866,24.4747,76,64,95
201,7,2,0,-98.866,-44.0863,-40.3081,-33.2924,57,0,0
201,7,3,0,-103.316,-48.5367,-40.3081,-37.7441,53,0,0
201,7,4,1,-65.5748,-10.7951,-40.3081,31.1682,90,64,108
201,7,5,0,-104.768,-49.9886,-40.3081,-39.1963,51,0,0
201,8,2,0,-95.981,-15.583,-65.9265,-3.04016,60,55,40
201,8,3,0,-107.444,-27.0462,-65.9265,-16.1503,49,32,14
201,8,4,1,-94.9108,-14.5127,-65.9265,-1.32114,61,57,43
201,8,5,0,-97.8157,-17.4177,-65.9265,-5.56082,58,51,35
201,9,2,0,-75.3367,-10.8628,-50.0022,17.8278,81,64,82
201,9,3,0,-99.2769,-34.803,-50.0022,-23.9939,57,16,0
201,9,4,1,-94.5835,-30.1097,-50.0022,-19.2667,61,26,7
201,9,5,0,-108.39,-43.916,-50.0022,-33.1221,48,0,0
201,10,2,0,-72.1972,-13.9711,-43.7545,-0.331654,84,58,45
201,10,3,0,-107.069,-48.8431,-43.7545,-38.0506,49,0,0
201,10,4,0,-96.6527,-38.4266,-43.7545,-27.6273,59,9,0
201,10,5,1,-71.8814,-13.6553,-43.7545,0.29868,84,59,47
301,1,2,0,-101.044,-31.6058,-54.9668,-20.7779,55,23,4
301,1,3,0,-80.5145,-11.0761,-54.9668,11.6968,75,64,69
301,1,4,0,-108.004,-38.5659,-54.9668,-27.7668,48,9,0
301,1,5,1,-92.9703,-23.5319,-54.9668,-12.5026,63,39,21
301,2,2,0,-103.791,-43.6912,-45.6287,-32.8971,52,0,0
301,2,3,0,-111.138,-51.0374,-45.6287,-40.2451,45,0,0
301,2,4,0,-108.563,-48.4629,-45.6287,-37.6703,47,0,0
301,2,5,1,-70.8956,-10.7953,-45.6287,30.9564,85,64,108
301,3,2,0,-88.567,-16.977,-57.1184,-4.98933,67,52,36
301,3,3,1,-101.564,-29.9743,-57.1184,-19.1297,54,26,8
