timestamp,id,x,y,type,cell,simid
1784546871496,1,537.09,260.954,mc,0,1784546871496
1784546871496,2,269.897,219.587,mc,0,1784546871496
1784546871496,3,469.762,371.584,mc,0,1784546871496
1784546871496,4,316.581,270.483,mc,0,1784546871496
1784546871496,5,754.82,319.729,mc,0,1784546871496
1784546871496,6,72.3764,371.115,mc,0,1784546871496
1784546871496,7,479.296,709.06,mc,0,1784546871496
1784546871496,8,293.03,500.422,mc,0,1784546871496
1784546871496,9,577.241,716.13,mc,0,1784546871496
1784546871496,10,300.979,491.77,mc,0,1784546871496
1784546871596,1,536.727,260.518,mc,5,1784546871496
1784546871596,2,270.292,219.462,mc,5,1784546871496
1784546871596,3,469.434,371.31,mc,3,1784546871496
1784546871596,4,316.052,270.282,mc,5,1784546871496
1784546871596,5,755.012,320.191,mc,3,1784546871496
1784546871596,6,72.6814,370.861,mc,5,1784546871496
1784546871596,7,479.055,708.869,mc,4,1784546871496
1784546871596,8,293.309,500.654,mc,4,1784546871496
1784546871596,9,577.847,716.1,mc,4,1784546871496
1784546871596,10,301.263,492.187,mc,5,1784546871496
1784546871696,1,536.365,260.083,mc,5,1784546871496
1784546871696,2,270.686,219.336,mc,5,1784546871496
1784546871696,3,469.107,371.037,mc,3,1784546871496
1784546871696,4,315.522,270.08,mc,5,1784546871496
1784546871696,5,755.205,320.654,mc,3,1784546871496
1784546871696,6,72.9864,370.608,mc,5,1784546871496
1784546871696,7,478.814,708.678,mc,4,1784546871496
1784546871696,8,293.588,500.886,mc,4,1784546871496
1784546871696,9,578.452,716.07,mc,4,1784546871496
1784546871696,10,301.547,492.605,mc,5,1784546871496
1784546871796,1,536.003,259.647,mc,5,1784546871496
1784546871796,2,271.081,219.211,mc,5,1784546871496
1784546871796,3,468.779,370.763,mc,3,1784546871496
1784546871796,4,314.993,269.879,mc,5,1784546871496
1784546871796,5,755.397,321.116,mc,3,1784546871496
1784546871796,6,73.2913,370.355,mc,5,1784546871496
1784546871796,7,478.573,708.487,mc,4,1784546871496
1784546871796,8,293.867,501.118,mc,4,1784546871496
1784546871796,9,579.058,716.04,mc,4,1784546871496
1784546871796,10,301.831,493.023,mc,5,1784546871496
1784546871896,1,535.641,259.212,mc,5,1784546871496
1784546871896,2,271.475,219.085,mc,5,1784546871496
1784546871896,3,468.451,370.489,mc,3,1784546871496
1784546871896,4,314.463,269.677,mc,5,1784546871496
1784546871896,5,755.589,321.578,mc,3,1784546871496
1784546871896,6,73.5963,370.102,mc,5,1784546871496
1784546871896,7,478.332,708.296,mc,4,1784546871496
1784546871896,8,294.147,501.35,mc,4,1784546871496
1784546871896,9,579.663,716.011,mc,4,1784546871496
1784546871896,10,302.115,493.44,mc,5,1784546871496
1784546871996,1,535.279,258.776,mc,5,1784546871496
1784546871996,2,271.869,218.96,mc,5,1784546871496
1784546871996,3,468.123,370.216,mc,3,1784546871496
1784546871996,4,313.934,269.475,mc,5,1784546871496
1784546871996,5,755.782,322.041,mc,3,1784546871496
1784546871996,6,73.9013,369.849,mc,5,1784546871496
1784546871996,7,478.091,708.105,mc,4,1784546871496
1784546871996,8,294.426,501.582,mc,4,1784546871496
1784546871996,9,580.269,715.981,mc,4,1784546871496
1784546871996,10,302.399,493.858,mc,5,1784546871496
1784546872096,1,534.917,258.34,mc,5,1784546871496
1784546872096,2,272.264,218.834,mc,5,1784546871496
1784546872096,3,467.796,369.942,mc,3,1784546871496
1784546872096,4,313.404,269.274,mc,5,1784546871496
1784546872096,5,755.974,322.503,mc,3,1784546871496
1784546872096,6,74.2063,369.596,mc,5,1784546871496
1784546872096,7,477.85,707.914,mc,4,1784546871496
1784546872096,8,294.705,501.814,mc,4,1784546871496
1784546872096,9,580.874,715.951,mc,4,1784546871496
1784546872096,10,302.683,494.275,mc,5,1784546871496
1784546872196,1,534.555,257.905,mc,5,1784546871496
1784546872196,2,272.658,218.709,mc,5,1784546871496
1784546872196,3,467.468,369.668,mc,3,1784546871496
1784546872196,4,312.875,269.072,mc,5,1784546871496
1784546872196,5,756.166,322.965,mc,3,1784546871496
1784546872196,6,74.5113,369.343,mc,5,1784546871496
1784546872196,7,477.609,707.723,mc,4,1784546871496
1784546872196,8,294.984,502.045,mc,4,1784546871496
1784546872196,9,581.48,715.921,mc,4,1784546871496
1784546872196,10,302.967,494.693,mc,5,1784546871496
