timestamp,id,x,y,simid,ESstate,currEC,maxEC,totalcurrEC
1784546871496,0,1000,1000
1784546871496,2,500,500,1784546871496,0,0,0,0
1784546871496,3,700,500,1784546871496,0,0,0,0
1784546871496,4,400,673.205,1784546871496,0,0,0,0
1784546871496,5,400,326.795,1784546871496,0,0,0,0
1784546871596,2,500,500,1784546871496,0,0,0,0
1784546871596,3,700,500,1784546871496,0,0,0,0
1784546871596,4,400,673.205,1784546871496,0,0,0,0
1784546871596,5,400,326.795,1784546871496,0,0,0,0
1784546871696,2,500,500,1784546871496,0,0,0,0
1784546871696,3,700,500,1784546871496,0,0,0,0
1784546871696,4,400,673.205,1784546871496,0,0,0,0
1784546871696,5,400,326.795,1784546871496,0,0,0,0
1784546871796,2,500,500,1784546871496,0,0,0,0
1784546871796,3,700,500,1784546871496,0,0,0,0
1784546871796,4,400,673.205,1784546871496,0,0,0,0
1784546871796,5,400,326.795,1784546871496,0,0,0,0
1784546871896,2,500,500,1784546871496,0,0,0,0
1784546871896,3,700,500,1784546871496,0,0,0,0
1784546871896,4,400,673.205,1784546871496,0,0,0,0
1784546871896,5,400,326.795,1784546871496,0,0,0,0
1784546871996,2,500,500,1784546871496,0,0,0,0
1784546871996,3,700,500,1784546871496,0,0,0,0
1784546871996,4,400,673.205,1784546871496,0,0,0,0
1784546871996,5,400,326.795,1784546871496,0,0,0,0
1784546872096,2,500,500,1784546871496,0,0,0,0
1784546872096,3,700,500,1784546871496,0,0,0,0
1784546872096,4,400,673.205,1784546871496,0,0,0,0
1784546872096,5,400,326.795,1784546871496,0,0,0,0
1784546872196,2,500,500,1784546871496,0,0,0,0
1784546872196,3,700,500,1784546871496,0,0,0,0
1784546872196,4,400,673.205,1784546871496,0,0,0,0
1784546872196,5,400,326.795,1784546871496,0,0,0,0
1784546872296,2,500,500,1784546871496,0,0,0,0
1784546872296,3,700,500,1784546871496,0,0,0,0
1784546872296,4,400,673.205,1784546871496,0,0,0,0
1784546872296,5,400,326.795,1784546871496,0,0,0,0
1784546872396,2,500,500,1784546871496,0,0,0,0
1784546872396,3,700,500,1784546871496,0,0,0,0
1784546872396,4,400,673.205,1784546871496,0,0,0,0
1784546872396,5,400,326.795,1784546871496,0,0,0,0
1784546872496,2,500,500,1784546871496,0,0,0,0
1784546872496,3,700,500,1784546871496,0,0,0,0
1784546872496,4,400,673.205,1784546871496,0,0,0,0
1784546872496,5,400,326.795,1784546871496,0,0,0,0
1784546872596,2,500,500,1784546871496,0,0,0,0
1784546872596,3,700,500,1784546871496,0,0,0,0
1784546872596,4,400,673.205,1784546871496,0,0,0,0
1784546872596,5,400,326.795,1784546871496,0,0,0,0
1784546872696,2,500,500,1784546871496,0,0,0,0
1784546872696,3,700,500,1784546871496,0,0,0,0
1784546872696,4,400,673.205,1784546871496,0,0,0,0
1784546872696,5,400,326.795,1784546871496,0,0,0,0
1784546872796,2,500,500,1784546871496,0,0,0,0
1784546872796,3,700,500,1784546871496,0,0,0,0
1784546872796,4,400,673.205,1784546871496,0,0,0,0
1784546872796,5,400,326.795,1784546871496,0,0,0,0
1784546872896,2,500,500,1784546871496,0,0,0,0
1784546872896,3,700,500,1784546871496,0,0,0,0
1784546872896,4,400,673.205,1784546871496,0,0,0,0
1784546872896,5,400,326.795,1784546871496,0,0,0,0
1784546872996,2,500,500,1784546871496,0,0,0,0
1784546872996,3,700,500,1784546871496,0,0,0,0
1784546872996,4,400,673.205,1784546871496,0,0,0,0
1784546872996,5,400,326.795,1784546871496,0,0,0,0
1784546873096,2,500,500,1784546871496,0,0,0,0
1784546873096,3,700,500,1784546871496,0,0,0,0
1784546873096,4,400,673.205,1784546871496,0,0,0,0
1784546873096,5,400,326.795,1784546871496,0,0,0,0
1784546873196,2,500,500,1784546871496,0,0,0,0
1784546873196,3,700,500,1784546871496,0,0,0,0
1784546873196,4,400,673.205,1784546871496,0,0,0,0
1784546873196,5,400,326.795,1784546871496,0,0,0,0
1784546873296,2,500,500,1784546871496,0,0,0,0
1784546873296,3,700,500,1784546871496,0,0,0,0
1784546873296,4,400,673.205,1784546871496,0,0,0,0
1784546873296,5,400,326.795,1784546871496,0,0,0,0
1784546873396,2,500,500,1784546871496,0,0,0,0
1784546873396,3,700,500,1784546871496,0,0,0,0
1784546873396,4,400,673.205,1784546871496,0,0,0,0
1784546873396,5,400,326.795,1784546871496,0,0,0,0
1784546873496,2,500,500,1784546871496,0,0,0,0
1784546873496,3,700,500,1784546871496,0,0,0,0
1784546873496,4,400,673.205,1784546871496,0,0,0,0
1784546873496,5,400,326.795,1784546871496,0,0,0,0
1784546873596,2,500,500,1784546871496,0,0,0,0
1784546873596,3,700,500,1784546871496,0,0,0,0
1784546873596,4,400,673.205,1784546871496,0,0,0,0
1784546873596,5,400,326.795,1784546871496,0,0,0,0
1784546873696,2,500,500,1784546871496,0,0,0,0
1784546873696,3,700,500,1784546871496,0,0,0,0
1784546873696,4,400,673.205,1784546871496,0,0,0,0
1784546873696,5,400,326.795,1784546871496,0,0,0,0
1784546873796,2,500,500,1784546871496,0,0,0,0
1784546873796,3,700,500,1784546871496,0,0,0,0
1784546873796,4,400,673.205,1784546871496,0,0,0,0
1784546873796,5,400,326.795,1784546871496,0,0,0,0
1784546873896,2,500,500,1784546871496,0,0,0,0
1784546873896,3,700,500,1784546871496,0,0,0,0
1784546873896,4,400,673.205,1784546871496,0,0,0,0
1784546873896,5,400,326.795,1784546871496,0,0,0,0
1784546873996,2,500,500,1784546871496,0,0,0,0
1784546873996,3,700,500,1784546871496,0,0,0,0
1784546873996,4,400,673.205,1784546871496,0,0,0,0
1784546873996,5,400,326.795,1784546871496,0,0,0,0
1784546874096,2,500,500,1784546871496,0,0,0,0
1784546874096,3,700,500,1784546871496,0,0,0,0
1784546874096,4,400,673.205,1784546871496,0,0,0,0
1784546874096,5,400,326.795,1784546871496,0,0,0,0
1784546874196,2,500,500,1784546871496,0,0,0,0
1784546874196,3,700,500,1784546871496,0,0,0,0
1784546874196,4,400,673.205,1784546871496,0,0,0,0
1784546874196,5,400,326.795,1784546871496,0,0,0,0
1784546874296,2,500,500,1784546871496,0,0,0,0
1784546874296,3,700,500,1784546871496,0,0,0,0
1784546874296,4,400,673.205,1784546871496,0,0,0,0
1784546874296,5,400,326.795,1784546871496,0,0,0,0
1784546874396,2,500,500,1784546871496,0,0,0,0
1784546874396,3,700,500,1784546871496,0,0,0,0
1784546874396,4,400,673.205,1784546871496,0,0,0,0
1784546874396,5,400,326.795,1784546871496,0,0,0,0
1784546874496,2,500,500,1784546871496,0,0,0,0
1784546874496,3,700,500,1784546871496,0,0,0,0
1784546874496,4,400,673.205,1784546871496,0,0,0,0
1784546874496,5,400,326.795,1784546871496,0,0,0,0
1784546874596,2,500,500,1784546871496,0,0,0,0
1784546874596,3,700,500,1784546871496,0,0,0,0
1784546874596,4,400,673.205,1784546871496,0,0,0,0
1784546874596,5,400,326.795,1784546871496,0,0,0,0
1784546874696,2,500,500,1784546871496,0,0,0,0
1784546874696,3,700,500,1784546871496,0,0,0,0
1784546874696,4,400,673.205,1784546871496,0,0,0,0
1784546874696,5,400,326.795,1784546871496,0,0,0,0
1784546874796,2,500,500,1784546871496,0,0,0,0
1784546874796,3,700,500,1784546871496,0,0,0,0
1784546874796,4,400,673.205,1784546871496,0,0,0,0
1784546874796,5,400,326.795,1784546871496,0,0,0,0
1784546874896,2,500,500,1784546871496,0,0,0,0
1784546874896,3,700,500,1784546871496,0,0,0,0
1784546874896,4,400,673.205,1784546871496,0,0,0,0
1784546874896,5,400,326.795,1784546871496,0,0,0,0
1784546874996,2,500,500,1784546871496,0,0,0,0
1784546874996,3,700,500,1784546871496,0,0,0,0
1784546874996,4,400,673.205,1784546871496,0,0,0,0
1784546874996,5,400,326.795,1784546871496,0,0,0,0
1784546875096,2,500,500,1784546871496,0,0,0,0
1784546875096,3,700,500,1784546871496,0,0,0,0
1784546875096,4,400,673.205,1784546871496,0,0,0,0
1784546875096,5,400,326.795,1784546871496,0,0,0,0
1784546875196,2,500,500,1784546871496,0,0,0,0
1784546875196,3,700,500,1784546871496,0,0,0,0
1784546875196,4,400,673.205,1784546871496,0,0,0,0
1784546875196,5,400,326.795,1784546871496,0,0,0,0
1784546875296,2,500,500,1784546871496,0,0,0,0
1784546875296,3,700,500,1784546871496,0,0,0,0
1784546875296,4,400,673.205,1784546871496,0,0,0,0
1784546875296,5,400,326.795,1784546871496,0,0,0,0
1784546875396,2,500,500,1784546871496,0,0,0,0
1784546875396,3,700,500,1784546871496,0,0,0,0
1784546875396,4,400,673.205,1784546871496,0,0,0,0
1784546875396,5,400,326.795,1784546871496,0,0,0,0
1784546875496,2,500,500,1784546871496,0,0,0,0
1784546875496,3,700,500,1784546871496,0,0,0,0
1784546875496,4,400,673.205,1784546871496,0,0,0,0
1784546875496,5,400,326.795,1784546871496,0,0,0,0
1784546875596,2,500,500,1784546871496,0,0,0,0
1784546875596,3,700,500,1784546871496,0,0,0,0
1784546875596,4,400,673.205,1784546871496,0,0,0,0
1784546875596,5,400,326.795,1784546871496,0,0,0,0
1784546875696,2,500,500,1784546871496,0,0,0,0
1784546875696,3,700,500,1784546871496,0,0,0,0
1784546875696,4,400,673.205,1784546871496,0,0,0,0
1784546875696,5,400,326.795,1784546871496,0,0,0,0
1784546875796,2,500,500,1784546871496,0,0,0,0
1784546875796,3,700,500,1784546871496,0,0,0,0
1784546875796,4,400,673.205,1784546871496,0,0,0,0
1784546875796,5,400,326.795,1784546871496,0,0,0,0
1784546875896,2,500,500,1784546871496,0,0,0,0
1784546875896,3,700,500,1784546871496,0,0,0,0
1784546875896,4,400,673.205,1784546871496,0,0,0,0
1784546875896,5,400,326.795,1784546871496,0,0,0,0
1784546875996,2,500,500,1784546871496,0,0,0,0
1784546875996,3,700,500,1784546871496,0,0,0,0
1784546875996,4,400,673.205,1784546871496,0,0,0,0
1784546875996,5,400,326.795,1784546871496,0,0,0,0
1784546876096,2,500,500,1784546871496,0,0,0,0
1784546876096,3,700,500,1784546871496,0,0,0,0
1784546876096,4,400,673.205,1784546871496,0,0,0,0
1784546876096,5,400,326.795,1784546871496,0,0,0,0
1784546876196,2,500,500,1784546871496,0,0,0,0
1784546876196,3,700,500,1784546871496,0,0,0,0
1784546876196,4,400,673.205,1784546871496,0,0,0,0
1784546876196,5,400,326.795,1784546871496,0,0,0,0
1784546876296,2,500,500,1784546871496,0,0,0,0
1784546876296,3,700,500,1784546871496,0,0,0,0
1784546876296,4,400,673.205,1784546871496,0,0,0,0
1784546876296,5,400,326.795,1784546871496,0,0,0,0
1784546876396,2,500,500,1784546871496,0,0,0,0
1784546876396,3,700,500,1784546871496,0,0,0,0
1784546876396,4,400,673.205,1784546871496,0,0,0,0
1784546876396,5,400,326.795,1784546871496,0,0,0,0
1784546876496,2,500,500,1784546871496,0,0,0,0
1784546876496,3,700,500,1784546871496,0,0,0,0
1784546876496,4,400,673.205,1784546871496,0,0,0,0
1784546876496,5,400,326.795,1784546871496,0,0,0,0
1784546876596,2,500,500,1784546871496,0,0,0,0
1784546876596,3,700,500,1784546871496,0,0,0,0
1784546876596,4,400,673.205,1784546871496,0,0,0,0
1784546876596,5,400,326.795,1784546871496,0,0,0,0
1784546876696,2,500,500,1784546871496,0,0,0,0
1784546876696,3,700,500,1784546871496,0,0,0,0
1784546876696,4,400,673.205,1784546871496,0,0,0,0
1784546876696,5,400,326.795,1784546871496,0,0,0,0
1784546876796,2,500,500,1784546871496,0,0,0,0
1784546876796,3,700,500,1784546871496,0,0,0,0
1784546876796,4,400,673.205,1784546871496,0,0,0,0
1784546876796,5,400,326.795,1784546871496,0,0,0,0
1784546876896,2,500,500,1784546871496,0,0,0,0
1784546876896,3,700,500,1784546871496,0,0,0,0
1784546876896,4,400,673.205,1784546871496,0,0,0,0
1784546876896,5,400,326.795,1784546871496,0,0,0,0
1784546876996,2,500,500,1784546871496,0,0,0,0
1784546876996,3,700,500,1784546871496,0,0,0,0
1784546876996,4,400,673.205,1784546871496,0,0,0,0
