timestamp,ue_id,x_est,y_est,x_true,y_true
1784546871496,1,543.710416220561,258.907484362558,537.09,260.954
1784546871596,1,543.164247454866,258.569885857015,536.727,260.518
1784546871696,1,542.61478028189,258.230234192373,536.365,260.083
1784546871796,1,542.06216489162,257.88859562239,536.003,259.647
1784546871896,1,541.506631694354,257.54507132251,535.641,259.212
1784546871996,1,540.94849352637,257.19979740977,535.279,258.776
1784546872096,1,540.388146213056,256.852942972915,534.917,258.34
1784546872196,1,539.826055845632,256.504701328513,534.555,257.905
1784546872296,1,539.262711862964,256.155282441391,534.193,257.469
1784546872396,1,538.698626251325,255.804911408686,533.831,257.033
1784546872496,1,538.134371333586,255.453829704509,533.469,256.598
1784546872596,1,537.570575837963,255.102294879098,533.107,256.162
1784546872696,1,537.00786622986,254.750574645763,532.745,255.727
1784546872796,1,536.446853399223,254.398946132606,532.383,255.291
1784546872896,1,535.888131992027,254.047695372408,532.021,254.855
1784546872996,1,535.332278249095,253.697117461313,531.659,254.42
1784546873096,1,534.77984756199,253.347516039549,531.297,253.984
1784546873196,1,534.23137316082,252.999203529535,530.935,253.549
1784546873296,1,533.687364914753,252.652499618172,530.573,253.113
1784546873396,1,533.148311053726,252.307729272872,530.211,252.677
1784546873496,1,532.614680566208,251.9652223578,529.849,252.242
1784546873596,1,532.086924527644,251.625313377938,529.487,251.806
1784546873696,1,531.565473868583,251.288337861382,529.125,251.371
1784546873796,1,531.050739945228,250.954631745046,528.763,250.935
1784546873896,1,530.543115790756,250.624530893677,528.401,250.499
1784546873996,1,530.042976558609,250.29837058994,528.039,250.064
1784546874096,1,529.550676587466,249.976484767984,527.677,249.628
1784546874196,1,529.066548528524,249.65920679082,527.315,249.193
1784546874296,1,528.590905038704,249.346869300375,526.953,248.757
1784546874396,1,528.124038738965,249.039802532598,526.591,248.321
1784546874496,1,527.66621863375,248.738334457109,526.229,247.886
1784546874596,1,527.217698138046,248.442791598949,525.867,247.45
1784546874696,1,526.778719523388,248.153499352346,525.505,247.015
1784546874796,1,526.349514468685,247.87078264229,525.142,246.579
1784546874896,1,525.93030139495,247.594964986765,524.78,246.143
1784546874996,1,525.5212841984,247.326367125357,524.418,245.708
1784546875096,1,525.122645234982,247.065305467942,524.056,245.272
1784546875196,1,524.734543256598,246.812091857963,523.694,244.837
1784546875296,1,524.357114800308,246.567033557657,523.332,244.401
1784546875396,1,523.990477272899,246.330433170612,522.97,243.965
1784546875496,1,523.634735807508,246.102590518902,522.608,243.53
1784546875596,1,523.289986254227,245.883802660382,522.246,243.094
1784546875696,1,522.956316567209,245.674363168446,521.884,242.659
1784546875796,1,522.633806912172,245.474556874301,521.522,242.223
1784546875896,1,522.32252880409,245.284656920236,521.16,241.787
1784546875996,1,522.022543580721,245.104923306041,520.798,241.352
1784546876096,1,521.733899751853,244.935598400601,520.436,240.916
1784546876196,1,521.456627633691,244.77690625781,520.074,240.481
1784546876296,1,521.190739721693,244.629052247468,519.712,240.045
1784546876396,1,520.936231340407,244.492219691456,519.35,239.609
1784546876496,1,520.693081619422,244.366568737483,518.988,239.174
1784546876596,1,520.461254395592,244.252234375183,518.626,238.738
1784546876696,1,520.240698177651,244.14932468785,518.264,238.303
1784546876796,1,520.031343083391,244.057920655617,517.917,237.893
1784546876896,1,519.833098399361,243.978076564229,518.001,238.2
1784546876996,1,519.645851853968,243.909820494026,518.085,238.507
1784546877096,1,519.469474259665,243.853154961258,518.168,238.814
1784546877196,1,519.303821509817,243.808057413313,518.252,239.122
1784546877296,1,519.148736060964,243.774480582812,518.336,239.429
1784546877396,1,519.00404983018,243.752354209956,518.419,239.736
1784546877496,1,518.869586585043,243.741590286589,518.503,240.044
1784546877596,1,518.745162177075,243.742084415181,518.586,240.351
1784546877696,1,518.630582920598,243.753716106002,518.67,240.658
1784546877796,1,518.525648422537,243.776349788019,518.754,240.966
1784546877896,1,518.430152059396,243.809835548695,518.837,241.273
1784546877996,1,518.343878180221,243.854011439774,518.921,241.58
1784546878096,1,518.266602695435,243.908705291483,519.005,241.888
1784546878196,1,518.198096357929,243.973735588683,519.088,242.195
1784546878296,1,518.138122250677,244.04891182903,519.172,242.502
1784546878396,1,518.0864340908,244.13403616392,519.256,242.809
1784546878496,1,518.0427751886,244.228904891336,519.339,243.117
1784546878596,1,518.006889019746,244.333309849888,519.423,243.424
1784546878696,1,517.978522213085,244.447039457139,519.507,243.731
1784546878796,1,517.957423759995,244.569878472666,519.59,244.039
1784546878896,1,517.943342311101,244.701607337784,519.674,244.346
1784546878996,1,517.9360290814,244.842002213737,519.757,244.653
1784546879096,1,517.9352383812,244.99083635049,519.841,244.961
1784546879196,1,517.940726232454,245.147880612197,519.925,245.268
1784546879296,1,517.952252070082,245.312905931305,520.008,245.575
1784546879396,1,517.969580349979,245.485685045338,520.092,245.883
1784546879496,1,517.992481125889,245.665993402308,520.176,246.19
1784546879596,1,518.020730963132,245.853609500624,520.259,246.497
1784546879696,1,518.054113531648,246.048317224058,520.343,246.804
1784546879796,1,518.09241959484,246.249906836217,520.427,247.112
1784546879896,1,518.135446458514,246.458175588962,520.51,247.419
1784546879996,1,518.182995210971,246.672927105545,520.594,247.726
1784546880096,1,518.234866176712,246.893970551492,520.678,248.034
1784546880196,1,518.290857146653,247.121120210136,520.761,248.341
1784546880296,1,518.350761450122,247.354194610013,520.845,248.648
1784546880396,1,518.41437061367,247.593016478804,520.928,248.956
1784546880496,1,518.48147958162,247.837415498128,521.012,249.263
1784546880596,1,518.551887653716,248.087228265569,521.096,249.57
1784546880696,1,518.625398816566,248.342297899585,521.179,249.877
1784546880796,1,518.701823970022,248.602475075468,521.263,250.185
1784546880896,1,518.78098121866,248.867617942419,521.347,250.492
1784546880996,1,518.862695722967,249.13759154614,521.43,250.799
1784546881096,1,518.946800140843,249.412267919752,521.514,251.107
1784546881196,1,519.03313435761,249.691525493559,521.598,251.414
1784546881296,1,519.121544746402,249.975247908052,521.681,251.721
1784546881396,1,519.211883679427,250.263323068767,521.765,252.029
1784546881496,1,519.304008679559,250.55564375573,521.849,252.336
