timestamp,id,x,y,type,cell,simid
1784569735202,1,537.09,260.954,mc,0,1784569735202
1784569735202,2,269.897,219.587,mc,0,1784569735202
1784569735202,3,469.762,371.584,mc,0,1784569735202
1784569735202,4,316.581,270.483,mc,0,1784569735202
1784569735202,5,754.82,319.729,mc,0,1784569735202
1784569735202,6,72.3764,371.115,mc,0,1784569735202
1784569735202,7,479.296,709.06,mc,0,1784569735202
1784569735202,8,293.03,500.422,mc,0,1784569735202
1784569735202,9,577.241,716.13,mc,0,1784569735202
1784569735202,10,300.979,491.77,mc,0,1784569735202
1784569735202,11,643.727,371.956,mc,0,1784569735202
1784569735202,12,560.413,333.952,mc,0,1784569735202
1784569735202,13,536.509,457.101,mc,0,1784569735202
1784569735202,14,666.467,563.315,mc,0,1784569735202
1784569735202,15,360.08,476.528,mc,0,1784569735202
1784569735302,1,536.727,260.518,mc,5,1784569735202
1784569735302,2,270.292,219.462,mc,5,1784569735202
1784569735302,3,469.434,371.31,mc,3,1784569735202
1784569735302,4,316.052,270.282,mc,5,1784569735202
1784569735302,5,755.012,320.191,mc,3,1784569735202
1784569735302,6,72.6814,370.861,mc,5,1784569735202
1784569735302,7,479.055,708.869,mc,4,1784569735202
1784569735302,8,293.309,500.654,mc,4,1784569735202
1784569735302,9,577.847,716.1,mc,2,1784569735202
1784569735302,10,301.263,492.187,mc,4,1784569735202
1784569735302,11,643.631,372.484,mc,3,1784569735202
1784569735302,12,560.712,333.778,mc,5,1784569735202
1784569735302,13,536.217,456.976,mc,2,1784569735202
1784569735302,14,666.219,562.778,mc,3,1784569735202
1784569735302,15,360.663,476.301,mc,2,1784569735202
1784569735402,1,536.365,260.083,mc,5,1784569735202
1784569735402,2,270.686,219.336,mc,5,1784569735202
1784569735402,3,469.107,371.037,mc,3,1784569735202
1784569735402,4,315.522,270.08,mc,5,1784569735202
1784569735402,5,755.205,320.654,mc,3,1784569735202
1784569735402,6,72.9864,370.608,mc,5,1784569735202
1784569735402,7,478.814,708.678,mc,4,1784569735202
1784569735402,8,293.588,500.886,mc,4,1784569735202
1784569735402,9,578.452,716.07,mc,2,1784569735202
1784569735402,10,301.547,492.605,mc,4,1784569735202
1784569735402,11,643.535,373.011,mc,3,1784569735202
1784569735402,12,561.011,333.603,mc,5,1784569735202
1784569735402,13,535.924,456.851,mc,2,1784569735202
1784569735402,14,665.971,562.242,mc,3,1784569735202
1784569735402,15,361.247,476.074,mc,2,1784569735202
1784569735502,1,536.003,259.647,mc,5,1784569735202
1784569735502,2,271.081,219.211,mc,5,1784569735202
1784569735502,3,468.779,370.763,mc,3,1784569735202
1784569735502,4,314.993,269.879,mc,5,1784569735202
1784569735502,5,755.397,321.116,mc,3,1784569735202
1784569735502,6,73.2913,370.355,mc,5,1784569735202
1784569735502,7,478.573,708.487,mc,4,1784569735202
1784569735502,8,293.867,501.118,mc,4,1784569735202
1784569735502,9,579.058,716.04,mc,2,1784569735202
1784569735502,10,301.831,493.023,mc,4,1784569735202
1784569735502,11,643.439,373.538,mc,3,1784569735202
1784569735502,12,561.31,333.429,mc,5,1784569735202
1784569735502,13,535.631,456.726,mc,2,1784569735202
1784569735502,14,665.722,561.706,mc,3,1784569735202
1784569735502,15,361.831,475.848,mc,2,1784569735202
1784569735602,1,535.641,259.212,mc,5,1784569735202
1784569735602,2,271.475,219.085,mc,5,1784569735202
1784569735602,3,468.451,370.489,mc,3,1784569735202
1784569735602,4,314.463,269.677,mc,5,1784569735202
1784569735602,5,755.589,321.578,mc,3,1784569735202
1784569735602,6,73.5963,370.102,mc,5,1784569735202
1784569735602,7,478.332,708.296,mc,4,1784569735202
1784569735602,8,294.147,501.35,mc,4,1784569735202
1784569735602,9,579.663,716.011,mc,2,1784569735202
1784569735602,10,302.115,493.44,mc,4,1784569735202
1784569735602,11,643.344,374.065,mc,3,1784569735202
1784569735602,12,561.61,333.254,mc,5,1784569735202
1784569735602,13,535.338,456.601,mc,2,1784569735202
1784569735602,14,665.474,561.169,mc,3,1784569735202
1784569735602,15,362.414,475.621,mc,2,1784569735202
1784569735702,1,535.279,258.776,mc,5,1784569735202
1784569735702,2,271.869,218.96,mc,5,1784569735202
1784569735702,3,468.123,370.216,mc,3,1784569735202
1784569735702,4,313.934,269.475,mc,5,1784569735202
1784569735702,5,755.782,322.041,mc,3,1784569735202
1784569735702,6,73.9013,369.849,mc,5,1784569735202
1784569735702,7,478.091,708.105,mc,4,1784569735202
1784569735702,8,294.426,501.582,mc,4,1784569735202
1784569735702,9,580.269,715.981,mc,2,1784569735202
1784569735702,10,302.399,493.858,mc,4,1784569735202
1784569735702,11,643.248,374.592,mc,3,1784569735202
1784569735702,12,561.909,333.08,mc,5,1784569735202
1784569735702,13,535.045,456.476,mc,2,1784569735202
1784569735702,14,665.226,560.633,mc,3,1784569735202
1784569735702,15,362.998,475.395,mc,2,1784569735202
1784569735802,1,534.917,258.34,mc,5,1784569735202
1784569735802,2,272.264,218.834,mc,5,1784569735202
1784569735802,3,467.796,369.942,mc,3,1784569735202
1784569735802,4,313.404,269.274,mc,5,1784569735202
