timestamp,id,x,y,simid,ESstate,currEC,maxEC,totalcurrEC
1784569735202,0,1000,1000
1784569735202,2,500,500,1784569735202,0,0,0,0
1784569735202,3,700,500,1784569735202,0,0,0,0
1784569735202,4,400,673.205,1784569735202,0,0,0,0
1784569735202,5,400,326.795,1784569735202,0,0,0,0
1784569735302,2,500,500,1784569735202,0,0,0,0
1784569735302,3,700,500,1784569735202,0,0,0,0
1784569735302,4,400,673.205,1784569735202,0,0,0,0
1784569735302,5,400,326.795,1784569735202,0,0,0,0
1784569735402,2,500,500,1784569735202,0,0,0,0
1784569735402,3,700,500,1784569735202,0,0,0,0
1784569735402,4,400,673.205,1784569735202,0,0,0,0
1784569735402,5,400,326.795,1784569735202,0,0,0,0
1784569735502,2,500,500,1784569735202,0,0,0,0
1784569735502,3,700,500,1784569735202,0,0,0,0
1784569735502,4,400,673.205,1784569735202,0,0,0,0
1784569735502,5,400,326.795,1784569735202,0,0,0,0
1784569735602,2,500,500,1784569735202,0,0,0,0
1784569735602,3,700,500,1784569735202,0,0,0,0
1784569735602,4,400,673.205,1784569735202,0,0,0,0
1784569735602,5,400,326.795,1784569735202,0,0,0,0
1784569735702,2,500,500,1784569735202,0,0,0,0
1784569735702,3,700,500,1784569735202,0,0,0,0
1784569735702,4,400,673.205,1784569735202,0,0,0,0
1784569735702,5,400,326.795,1784569735202,0,0,0,0
1784569735802,2,500,500,1784569735202,0,0,0,0
1784569735802,3,700,500,1784569735202,0,0,0,0
1784569735802,4,400,673.205,1784569735202,0,0,0,0
1784569735802,5,400,326.795,1784569735202,0,0,0,0
1784569735902,2,500,500,1784569735202,0,0,0,0
1784569735902,3,700,500,1784569735202,0,0,0,0
1784569735902,4,400,673.205,1784569735202,0,0,0,0
1784569735902,5,400,326.795,1784569735202,0,0,0,0
1784569736002,2,500,500,1784569735202,0,0,0,0
1784569736002,3,700,500,1784569735202,0,0,0,0
1784569736002,4,400,673.205,1784569735202,0,0,0,0
1784569736002,5,400,326.795,1784569735202,0,0,0,0
1784569736102,2,500,500,1784569735202,0,0,0,0
1784569736102,3,700,500,1784569735202,0,0,0,0
1784569736102,4,400,673.205,1784569735202,0,0,0,0
1784569736102,5,400,326.795,1784569735202,0,0,0,0
1784569736202,2,500,500,1784569735202,0,0,0,0
1784569736202,3,700,500,1784569735202,0,0,0,0
1784569736202,4,400,673.205,1784569735202,0,0,0,0
